Variable Name,Variable Description,Component,Data File Description,flag_1999,flag_2000,flag_2001,flag_2002,flag_2003,flag_2004,flag_2005,flag_2006,flag_2007,flag_2008,flag_2009,flag_2010,flag_2011,flag_2012,flag_2013,flag_2014,flag_2015,flag_2016,num_flags,keep
WTSF6M21,"Final 6 Year Los Angeles, California MEC Exam Replicate Weight 21",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6M22,"Final 6 Year Los Angeles, California MEC Exam Replicate Weight 22",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6M23,"Final 6 Year Los Angeles, California MEC Exam Replicate Weight 23",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6M24,"Final 6 Year Los Angeles, California MEC Exam Replicate Weight 24",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6M25,"Final 6 Year Los Angeles, California MEC Exam Replicate Weight 25",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6M26,"Final 6 Year Los Angeles, California MEC Exam Replicate Weight 26",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6M27,"Final 6 Year Los Angeles, California MEC Exam Replicate Weight 27",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6M28,"Final 6 Year Los Angeles, California MEC Exam Replicate Weight 28",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6M29,"Final 6 Year Los Angeles, California MEC Exam Replicate Weight 29",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6M30,"Final 6 Year Los Angeles, California MEC Exam Replicate Weight 30",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6M31,"Final 6 Year Los Angeles, California MEC Exam Replicate Weight 31",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6M32,"Final 6 Year Los Angeles, California MEC Exam Replicate Weight 32",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6M33,"Final 6 Year Los Angeles, California MEC Exam Replicate Weight 33",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6M34,"Final 6 Year Los Angeles, California MEC Exam Replicate Weight 34",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6M35,"Final 6 Year Los Angeles, California MEC Exam Replicate Weight 35",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6M36,"Final 6 Year Los Angeles, California MEC Exam Replicate Weight 36",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6M37,"Final 6 Year Los Angeles, California MEC Exam Replicate Weight 37",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6M38,"Final 6 Year Los Angeles, California MEC Exam Replicate Weight 38",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6M39,"Final 6 Year Los Angeles, California MEC Exam Replicate Weight 39",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6M40,"Final 6 Year Los Angeles, California MEC Exam Replicate Weight 40",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6M41,"Final 6 Year Los Angeles, California MEC Exam Replicate Weight 41",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6M42,"Final 6 Year Los Angeles, California MEC Exam Replicate Weight 42",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6M43,"Final 6 Year Los Angeles, California MEC Exam Replicate Weight 43",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6M44,"Final 6 Year Los Angeles, California MEC Exam Replicate Weight 44",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q,"Interviewed Sample Persons in Los Angeles, CA.",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q01,"Final 6 Year Los Angeles, California Interview Replicate Weight 1",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q02,"Final 6 Year Los Angeles, California Interview Replicate Weight 2",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q03,"Final 6 Year Los Angeles, California Interview Replicate Weight 3",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q04,"Final 6 Year Los Angeles, California Interview Replicate Weight 4",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q05,"Final 6 Year Los Angeles, California Interview Replicate Weight 5",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q06,"Final 6 Year Los Angeles, California Interview Replicate Weight 6",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q07,"Final 6 Year Los Angeles, California Interview Replicate Weight 7",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q08,"Final 6 Year Los Angeles, California Interview Replicate Weight 8",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q09,"Final 6 Year Los Angeles, California Interview Replicate Weight 9",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q10,"Final 6 Year Los Angeles, California Interview Replicate Weight 10",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q11,"Final 6 Year Los Angeles, California Interview Replicate Weight 11",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q12,"Final 6 Year Los Angeles, California Interview Replicate Weight 12",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q13,"Final 6 Year Los Angeles, California Interview Replicate Weight 13",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q14,"Final 6 Year Los Angeles, California Interview Replicate Weight 14",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q15,"Final 6 Year Los Angeles, California Interview Replicate Weight 15",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q16,"Final 6 Year Los Angeles, California Interview Replicate Weight 16",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q17,"Final 6 Year Los Angeles, California Interview Replicate Weight 17",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q18,"Final 6 Year Los Angeles, California Interview Replicate Weight 18",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q19,"Final 6 Year Los Angeles, California Interview Replicate Weight 19",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q20,"Final 6 Year Los Angeles, California Interview Replicate Weight 20",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q21,"Final 6 Year Los Angeles, California Interview Replicate Weight 21",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q22,"Final 6 Year Los Angeles, California Interview Replicate Weight 22",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q23,"Final 6 Year Los Angeles, California Interview Replicate Weight 23",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q24,"Final 6 Year Los Angeles, California Interview Replicate Weight 24",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q25,"Final 6 Year Los Angeles, California Interview Replicate Weight 25",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q26,"Final 6 Year Los Angeles, California Interview Replicate Weight 26",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q27,"Final 6 Year Los Angeles, California Interview Replicate Weight 27",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q28,"Final 6 Year Los Angeles, California Interview Replicate Weight 28",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q29,"Final 6 Year Los Angeles, California Interview Replicate Weight 29",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q30,"Final 6 Year Los Angeles, California Interview Replicate Weight 30",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q31,"Final 6 Year Los Angeles, California Interview Replicate Weight 31",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q32,"Final 6 Year Los Angeles, California Interview Replicate Weight 32",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q33,"Final 6 Year Los Angeles, California Interview Replicate Weight 33",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q34,"Final 6 Year Los Angeles, California Interview Replicate Weight 34",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q35,"Final 6 Year Los Angeles, California Interview Replicate Weight 35",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q36,"Final 6 Year Los Angeles, California Interview Replicate Weight 36",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q37,"Final 6 Year Los Angeles, California Interview Replicate Weight 37",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q38,"Final 6 Year Los Angeles, California Interview Replicate Weight 38",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q39,"Final 6 Year Los Angeles, California Interview Replicate Weight 39",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q40,"Final 6 Year Los Angeles, California Interview Replicate Weight 40",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q41,"Final 6 Year Los Angeles, California Interview Replicate Weight 41",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q42,"Final 6 Year Los Angeles, California Interview Replicate Weight 42",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q43,"Final 6 Year Los Angeles, California Interview Replicate Weight 43",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSF6Q44,"Final 6 Year Los Angeles, California Interview Replicate Weight 44",Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSTVPSU,Taylor Series-Variance PSU Identifier,Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
WTSVSTRA,Taylor Series-Variance Strata Identifier,Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
DBD100,How often {do you/does SP} add ordinary salt to {your/his/her/SP's} food at the table? Would you say . . .,Dietary,Dietary Interview - Total Nutrient Intakes,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
DBD100,How often {do you/does SP} add ordinary salt to {your/his/her/SP's} food at the table? Would you say . . .,Dietary,"Dietary Interview - Total Nutrient Intakes, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DBQ095,What type of salt {do you/does SP} usually add to {your/his/her/SP's} food at the table? Would you say . . .,Dietary,Dietary Interview - Total Nutrient Intakes,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
DBQ095Z,What type of salt {do you/does SP} usually add to {your/his/her/SP's} food at the table? Would you say . . .,Dietary,"Dietary Interview - Total Nutrient Intakes, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1BWATR,Total bottled water drank yesterday. (gm),Dietary,"Dietary Interview - Total Nutrient Intakes, First Day",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
DR1BWATZ,Total bottled water drank yesterday (gm),Dietary,"Dietary Interview - Total Nutrient Intakes, First Day",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,12,0
DR1CCMNM,Combination food number,Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
DR1CCMNM,Combination food number (sequential number),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,12,0
DR1CCMTX,Combination food type,Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1CWATR,"Plain carbonated water drank yesterday - including unsweetened carbonated water, seltzer water, club soda, and carbonated bottled water such as Perrier.",Dietary,"Dietary Interview - Total Nutrient Intakes, First Day",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
DR1DAY,Intake day of the week,Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1DAY,Intake day of the week,Dietary,"Dietary Interview - Total Nutrient Intakes, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1DAY,Intake day of the week,Dietary,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,10,0
DR1DAY,Intake day of the week,Dietary,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,10,0
DR1DBIH,# of days b/w intake and HH interview,Dietary,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,8,0
DR1DBIH,# of days b/w intake and HH interview,Dietary,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,8,0
DR1DBIH,Number of days between intake day and the day of family questionnaire administered in the household.,Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,10,0
DR1DBIH,Number of days between intake day and the day of family questionnaire administered in the household.,Dietary,"Dietary Interview - Total Nutrient Intakes, First Day",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,10,0
DR1DRSTZ,Dietary recall status,Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1DRSTZ,Dietary recall status,Dietary,"Dietary Interview - Total Nutrient Intakes, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1DRSTZ,Dietary recall status,Dietary,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,10,0
DR1DRSTZ,Dietary recall status,Dietary,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,10,0
DR1EXMER,Interviewer ID code,Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,12,0
DR1EXMER,Interviewer ID code,Dietary,"Dietary Interview - Total Nutrient Intakes, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1EXMER,Interviewer ID code,Dietary,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,10,0
DR1EXMER,Interviewer ID code,Dietary,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,10,0
DR1FS,Where did you get (this/most of the ingredients for this) {FOODNAME}?,Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1HELP,Who helped in responding for this interview,Dietary,"Dietary Interview - Total Nutrient Intakes, First Day",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0
DR1HELP,Who helped in responding for this interview,Dietary,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0
DR1HELPD,Who helped in responding for this interview,Dietary,"Dietary Interview - Total Nutrient Intakes, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,12,0
DR1HELPD,Who helped in responding for this interview,Dietary,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,8,0
DR1IACAR,Alpha-carotene (mcg),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1IALCO,Alcohol (gm),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1IATOA,Added alpha-tocopherol (Vitamin E) (mg),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1IATOC,Vitamin E as alpha-tocopherol (mg),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1IB12A,Added vitamin B12 (mcg),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1IBCAR,Beta-carotene (mcg),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1ICAFF,Caffeine (mg),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1ICALC,Calcium (mg),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1ICARB,Carbohydrate (gm),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1ICHL,Total choline (mg),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,12,0
DR1ICHOL,Cholesterol (mg),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1ICOPP,Copper (mg),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1ICRYP,Beta-cryptoxanthin (mcg),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1IFA,Folic acid (mcg),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1IFDCD,USDA food code,Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1IFDFE,Folate as dietary folate equivalents (mcg),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1IFF,Food folate (mcg),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1IFIBE,Dietary fiber (gm),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1IFOLA,Total Folate (mcg),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
DR1IFOLA,Total folate (mcg),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,12,0
DR1IGRMS,Gram weight of the food/individual component,Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1IIRON,Iron (mg),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1IKCAL,Energy (kcal),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1ILINE,Food/Individual component number,Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,12,0
DR1ILINE,Food/individual component number,Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
DR1ILYCO,Lycopene (mcg),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1ILZ,Lutein + zeaxanthin (mcg),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1IM161,MFA 16:1 (Hexadecenoic) (gm),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1IM181,MFA 18:1 (Octadecenoic) (gm),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1IM201,MFA 20:1 (Eicosenoic) (gm),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1IM221,MFA 22:1 (Docosenoic) (gm),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1IMAGN,Magnesium (mg),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1IMFAT,Total monounsaturated fatty acids (gm),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1IMOIS,Moisture (gm),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1INIAC,Niacin (mg),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
DR1IP182,PFA 18:2 (Octadecadienoic) (gm),Dietary,"Dietary Interview - Individual Foods, First Day",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,0
